[2026-03-28T21:40:31.780Z] GET http://localhost:3000/ → 200 (40ms, 64434B)
[2026-03-28T21:40:31.823Z] GET http://localhost:3000/_next/static/media/36966cca54120369-s.p.woff2?v=1774734031786 → 200 (3ms, 22320B)
[2026-03-28T21:40:31.823Z] GET http://localhost:3000/_next/static/media/98e207f02528a563-s.p.woff2?v=1774734031786 → 200 (3ms, 10060B)
[2026-03-28T21:40:31.823Z] GET http://localhost:3000/_next/static/media/bb3ef058b751a6ad-s.p.woff2?v=1774734031786 → 200 (3ms, 40480B)
[2026-03-28T21:40:31.823Z] GET http://localhost:3000/_next/static/media/d3ebbfd689654d3a-s.p.woff2?v=1774734031786 → 200 (2ms, 10052B)
[2026-03-28T21:40:31.823Z] GET http://localhost:3000/_next/static/media/db96af6b531dc71f-s.p.woff2?v=1774734031786 → 200 (4ms, 10120B)
[2026-03-28T21:40:31.823Z] GET http://localhost:3000/_next/static/media/f36144f235cd456e-s.p.woff2?v=1774734031786 → 200 (4ms, 10112B)
[2026-03-28T21:40:31.823Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1774734031786 → 200 (3ms, 67031B)
[2026-03-28T21:40:31.823Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1774734031786 → 200 (26ms, 142763B)
[2026-03-28T21:40:31.823Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1774734031786 → 200 (217ms, ?B)
[2026-03-28T21:40:31.823Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 200 (26ms, 242258B)
[2026-03-28T21:40:31.823Z] GET http://localhost:3000/_next/static/chunks/app/page.js → 200 (26ms, 378814B)
[2026-03-28T21:40:31.849Z] GET http://localhost:3000/_next/static/media/36966cca54120369-s.p.woff2 → 200 (5ms, 22320B)
[2026-03-28T21:40:31.849Z] GET http://localhost:3000/_next/static/media/bb3ef058b751a6ad-s.p.woff2 → 200 (6ms, 40480B)
[2026-03-28T21:40:31.849Z] GET http://localhost:3000/_next/static/media/d3ebbfd689654d3a-s.p.woff2 → 200 (6ms, 10052B)
[2026-03-28T21:41:17.957Z] GET http://localhost:5174/ → 200 (3ms, 984B)
[2026-03-28T21:41:17.961Z] GET http://localhost:5174/@vite/client → 200 (8ms, 204443B)
[2026-03-28T21:41:17.961Z] GET https://fonts.googleapis.com/css2?family=JetBrains+Mono:ital,wght@0,100..800;1,100..800&family=Space+Grotesk:wght@300..700&family=IBM+Plex+Mono:wght@300;400;500;600;700&family=Space+Mono:wght@400;700&display=swap → 200 (1ms, 18427B)
[2026-03-28T21:41:17.962Z] GET http://localhost:5174/src/main.tsx → 200 (4ms, 2908B)
[2026-03-28T21:41:17.962Z] GET http://localhost:5174/@react-refresh → 200 (9ms, 111894B)
[2026-03-28T21:41:17.963Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (?ms, ?B)
[2026-03-28T21:41:17.963Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbV2o-flEEny0FZhsfKu5WU4xD7OwGtT0rU.woff2 → 200 (?ms, ?B)
[2026-03-28T21:41:17.963Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (?ms, ?B)
[2026-03-28T21:41:17.966Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=0fdc4529 → 200 (?ms, 755B)
[2026-03-28T21:41:17.966Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=0fdc4529 → 200 (?ms, 820919B)
[2026-03-28T21:41:17.966Z] GET http://localhost:5174/node_modules/.vite/deps/@tanstack_react-query.js?v=0fdc4529 → 200 (?ms, 97634B)
[2026-03-28T21:41:17.966Z] GET http://localhost:5174/src/App.tsx → 200 (5ms, 9857B)
[2026-03-28T21:41:17.966Z] GET http://localhost:5174/src/globals.css → 200 (6ms, 22066B)
[2026-03-28T21:41:17.966Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=0fdc4529 → 200 (?ms, 10510B)
[2026-03-28T21:41:17.968Z] GET http://localhost:5174/node_modules/.vite/deps/react-TUYU05Ph.js?v=0fdc4529 → 200 (?ms, 39306B)
[2026-03-28T21:41:17.968Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom.js?v=0fdc4529 → 200 (?ms, 14567B)
[2026-03-28T21:41:17.969Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-runtime.js?v=0fdc4529 → 200 (?ms, 10820B)
[2026-03-28T21:41:17.970Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → 200 (2ms, 3478B)
[2026-03-28T21:41:17.971Z] GET http://localhost:5174/src/contexts/SelectionContext.tsx → 200 (1ms, 5838B)
[2026-03-28T21:41:17.971Z] GET http://localhost:5174/src/contexts/ViewPreferencesContext.tsx → 200 (1ms, 7757B)
[2026-03-28T21:41:17.971Z] GET http://localhost:5174/src/components/layout/Header.tsx → 200 (1ms, 10222B)
[2026-03-28T21:41:17.971Z] GET http://localhost:5174/src/components/layout/AppLayout.tsx → 200 (2ms, 8018B)
[2026-03-28T21:41:17.971Z] GET http://localhost:5174/src/components/layout/ReviewBar.tsx → 200 (3ms, 14592B)
[2026-03-28T21:41:17.971Z] GET http://localhost:5174/src/components/layout/KeyboardHelp.tsx → 200 (2ms, 8872B)
[2026-03-28T21:41:17.971Z] GET http://localhost:5174/src/components/sessions/SessionPanel.tsx → 200 (2ms, 8564B)
[2026-03-28T21:41:17.971Z] GET http://localhost:5174/src/components/trace/TracePanel.tsx → 200 (2ms, 10925B)
[2026-03-28T21:41:17.971Z] GET http://localhost:5174/src/components/trace/TimelineStrip.tsx → 200 (3ms, 18423B)
[2026-03-28T21:41:17.971Z] GET http://localhost:5174/src/components/detail/DetailPanel.tsx → 200 (12ms, 6567B)
[2026-03-28T21:41:17.971Z] GET http://localhost:5174/src/components/Onboarding.tsx → 200 (4ms, 11109B)
[2026-03-28T21:41:17.971Z] GET http://localhost:5174/src/hooks/useSessionList.ts → 200 (11ms, 1069B)
[2026-03-28T21:41:17.971Z] GET http://localhost:5174/src/hooks/useKeyboardNav.ts → 200 (11ms, 14501B)
[2026-03-28T21:41:17.973Z] GET http://localhost:5174/node_modules/.vite/deps/react-resizable-panels.js?v=0fdc4529 → 200 (?ms, 45162B)
